Fecha;Sucursal;Region;Vendedor;Cliente;Producto;Categoria;Metodo_Pago;ID_Venta;Cantidad;Precio_Unitario;Total
14-10-2024;Zaragoza;Noreste;Luis;Nuevo;Laptop;Electrónica;Efectivo;35;4;116.59;466.36
20-01-2024;Bilbao;Norte;Ana;Recurrente;Auriculares;Electrónica;Efectivo;36;1;20.24;20.24
16-11-2024;Malaga;Sur;Ana;Nuevo;;Ropa;Efectivo;37;9;176.69;1590.21
20-09-2024;Valencia;Este;Marta;Recurrente;Humidificador;Hogar;Tarjeta;38;15;126.75;1901.25
21-05-2024;Sevilla;Sur;Marta;Recurrente;Smartphone;Electrónica;Tarjeta;39;13;62.65;814.45
22-05-2024;Sevilla;Sur;Carlos;Nuevo;Auriculares;Electrónica;Tarjeta;40;1;25.57;25.57
20-08-2024;Madrid;Centro;Carlos;Recurrente;Lámpara;Hogar;Efectivo;41;7;94.02;658.14
24-03-2024;Sevilla;;Luis;Recurrente;Chaqueta;Ropa;Transferencia;42;19;41.97;797.43
15-01-2024;Bilbao;Norte;Ana;Recurrente;Pantalones;Ropa;Tarjeta;43;15;31.79;476.85
22-10-2024;Barcelona;Este;Ana;Nuevo;Humidificador;Hogar;Efectivo;44;14;35.79;501.06
25-10-2024;Valencia;Este;Luis;Nuevo;Silla;Hogar;Transferencia;45;1;185.07;185.07
01-08-2024;Barcelona;Este;Carlos;Nuevo;Pantalones;Ropa;Efectivo;46;14;24.18;338.52
07-12-2024;Valencia;Este;Luis;Recurrente;;Hogar;Efectivo;47;15;53.37;800.55
12-10-2024;Madrid;Centro;Ana;;Smartphone;Electrónica;Efectivo;48;15;48.26;723.9
14-02-2024;Bilbao;Norte;Marta;Nuevo;Laptop;Electrónica;Transferencia;49;15;191.13;2866.95
09-12-2024;Sevilla;Sur;Ana;Recurrente;Cafetera;Hogar;Efectivo;50;4;136.21;544.84
